EntityCode,ID,Category,Name,Tags
25271203,12306,Control Measure : Line,Protection Areas : Roadblocks- Craters and Blown Bridges : Explosives-State of Readiness 2 (armed but passable),Control Measure;Protection Areas;Roadblocks- Craters and Blown Bridges;Explosives-State of Readiness 2 (armed but passable);gct_parallel_lines_mid_line;G*MPORA---****X;MAIN;Line;Protection Areas : Roadblocks- Craters and Blown Bridges : Explosives-State of Readiness 2 (armed but passable);25271203
25271204,12308,Control Measure : Line,Protection Areas : Roadblocks- Craters and Blown Bridges : Roadblock Complete (Executed),Control Measure;Protection Areas;Roadblocks- Craters and Blown Bridges;Roadblock Complete (Executed);gct_parallel_lines_mid_line;G*MPORC---****X;MAIN;Line;Protection Areas : Roadblocks- Craters and Blown Bridges : Roadblock Complete (Executed);25271204
25271300,12269,Control Measure : Area,Protection Areas : Assault Crossing,Control Measure;Protection Areas;Assault Crossing;gct_parallel_lines_with_ticks;G*MPBCA---****X;MAIN;Area;Protection Areas : Assault Crossing;25271300
25271400,12272,Control Measure : Line,Protection Areas : Bridge,Control Measure;Protection Areas;Bridge;gct_parallel_lines_with_ticks;G*MPBCB---****X;MAIN;Line;Protection Areas : Bridge;25271400
25271500,12279,Control Measure : Line,Protection Areas : Ford Easy,Control Measure;Protection Areas;Ford Easy;gct_parallel_lines;G*MPBCE---****X;MAIN;Line;Protection Areas : Ford Easy;25271500
25271600,12278,Control Measure : Line,Protection Areas : Ford Difficult,Control Measure;Protection Areas;Ford Difficult;gct_parallel_lines;G*MPBCD---****X;MAIN;Line;Protection Areas : Ford Difficult;25271600
25290500,12321,Control Measure : Line,Protection Lines : Trip Wire,Control Measure;Protection Lines;Trip Wire;gct_t;G*MPOT----****X;MAIN;Line;Protection Lines : Trip Wire;25290500
25330100,13311,Control Measure : Line,Sustainment Lines : Moving Convoy,Control Measure;Sustainment Lines;Moving Convoy;gct_arrow;G*SPLCM---****X;MAIN;Line;Sustainment Lines : Moving Convoy;25330100
25330200,13306,Control Measure : Line,Sustainment Lines : Halted Convoy,Control Measure;Sustainment Lines;Halted Convoy;gct_arrow;G*SPLCH---****X;MAIN;Line;Sustainment Lines : Halted Convoy;25330200
25340100,11736,Control Measure : Line,Mission Tasks : Block,Control Measure;Mission Tasks;Block;gct_u_or_t_shape;G*TPB-----****X;MAIN;Line;Mission Tasks : Block;25340100
